date,pce_goods,pce_services,nonres_investment,res_investment,inventories,net_exports,government,total_gdp,quarter
2018-04-01,0.21,1.25,0.63,0.11,-0.74,0.19,0.5,2.1,2018Q2
2018-07-01,0.39,0.85,0.35,-0.15,1.99,-1.47,0.55,2.5,2018Q3
2018-10-01,0.44,0.4,0.5,-0.32,-0.11,-0.43,0.09,0.6,2018Q4
2019-01-01,0.24,0.18,0.38,-0.17,0.46,0.49,0.96,2.5,2019Q1
2019-04-01,1.45,0.84,1.06,0.26,-0.62,-0.56,0.95,3.4,2019Q2
2019-07-01,1.2,1.85,0.55,0.22,-0.18,0.3,0.81,4.8,2019Q3
2019-10-01,0.26,1.49,-0.24,0.05,-0.78,1.4,0.57,2.8,2019Q4
2020-01-01,-0.37,-4.1,-0.96,0.44,-1.28,0.34,0.77,-5.2,2020Q1
2020-04-01,-1.55,-20.07,-4.15,-1.07,-3.69,0.74,1.82,-28.0,2020Q2
2020-07-01,9.88,15.07,2.69,2.39,8.46,-2.5,-1.14,34.9,2020Q3
2020-10-01,0.47,3.13,1.5,1.25,-0.29,-1.53,0.08,4.6,2020Q4
2021-01-01,3.74,2.32,1.22,0.26,-1.88,-1.01,1.05,5.7,2021Q1
2021-04-01,3.52,5.89,1.31,-0.21,-1.87,-0.81,-0.85,7.0,2021Q2
2021-07-01,-2.19,4.43,-0.18,-0.04,2.82,-0.96,-0.54,3.3,2021Q3
2021-10-01,0.81,1.82,0.43,0.13,4.15,-0.29,-0.01,7.0,2021Q4
2022-01-01,-0.48,0.7,1.49,-0.35,0.3,-2.15,-0.54,-1.0,2022Q1
2022-04-01,-0.11,2.3,0.91,-0.56,-2.03,0.38,-0.26,0.6,2022Q2
2022-07-01,-0.58,1.85,0.8,-1.2,-0.86,2.63,0.28,2.9,2022Q3
2022-10-01,-0.52,1.05,0.94,-1.03,1.52,0.14,0.69,2.8,2022Q4
2023-01-01,1.55,1.44,1.13,-0.28,-2.18,0.58,0.69,2.9,2023Q1
2023-04-01,0.09,0.92,1.47,0.16,-0.36,-0.3,0.56,2.5,2023Q2
2023-07-01,0.95,1.13,0.25,0.44,0.97,0.09,0.87,4.7,2023Q3
2023-10-01,0.47,1.57,0.76,0.06,-0.17,-0.06,0.79,3.4,2023Q4
2024-01-01,-0.29,1.46,0.22,0.32,-0.83,-0.42,0.39,0.8,2024Q1
2024-04-01,1.14,1.47,0.35,-0.08,1.17,-1.04,0.57,3.6,2024Q2
2024-07-01,1.27,1.38,0.48,-0.2,-0.11,-0.41,0.92,3.3,2024Q3
2024-10-01,1.43,1.17,-0.51,0.17,-0.91,-0.06,0.57,1.9,2024Q4
2025-01-01,0.04,0.37,1.24,-0.04,2.58,-4.68,-0.17,-0.6,2025Q1
2025-04-01,0.47,1.21,0.98,-0.21,-3.44,4.83,-0.01,3.8,2025Q2
2025-07-01,0.64,1.7,0.44,-0.29,-0.12,1.62,0.38,4.4,2025Q3
