date,capital_goods,consumer_goods,automotive,foods,industrial,petroleum,computers,aircraft,quarter
2015-01-01,617.374,592.776,335.122,128.948,533.806,224.479,123.064,55.154,2015Q1
2015-04-01,612.679,595.448,354.057,130.181,499.82,205.764,119.152,55.666,2015Q2
2015-07-01,601.498,603.096,357.427,129.001,482.842,196.418,121.9,55.413,2015Q3
2015-10-01,597.088,594.348,353.59,126.919,436.081,162.288,116.986,54.758,2015Q4
2016-01-01,585.082,585.669,349.778,129.714,403.714,137.34,114.912,48.793,2016Q1
2016-04-01,596.825,580.69,347.361,128.792,422.742,150.643,114.072,54.788,2016Q2
2016-07-01,593.049,582.379,350.617,130.427,453.77,170.593,113.069,49.039,2016Q3
2016-10-01,599.499,590.862,355.632,135.109,469.388,179.818,116.275,47.367,2016Q4
2017-01-01,618.203,590.784,361.132,134.721,507.453,213.575,119.375,51.456,2017Q1
2017-04-01,632.582,601.858,359.087,137.432,493.071,187.275,125.909,49.705,2017Q2
2017-07-01,649.225,588.941,355.792,139.971,484.826,179.113,133.924,52.478,2017Q3
2017-10-01,671.445,632.296,360.46,143.178,527.219,209.723,134.472,51.814,2017Q4
2018-01-01,684.186,647.276,371.64,147.278,560.482,230.252,141.481,52.618,2018Q1
2018-04-01,696.249,632.618,362.14,147.328,575.705,240.808,143.8,54.858,2018Q2
2018-07-01,702.201,643.265,370.699,147.537,595.356,259.912,146.182,56.436,2018Q3
2018-10-01,694.279,667.478,383.559,150.887,565.187,224.46,137.328,57.562,2018Q4
2019-01-01,687.443,665.022,384.642,150.155,526.593,197.451,132.232,66.378,2019Q1
2019-04-01,684.246,661.135,386.126,153.585,537.339,227.075,136.56,63.12,2019Q2
2019-07-01,676.962,664.57,374.237,151.864,512.684,204.242,124.426,60.95,2019Q3
2019-10-01,667.88,630.443,356.273,150.616,498.801,200.713,129.907,60.8,2019Q4
2020-01-01,646.459,605.49,353.049,154.175,479.58,180.545,122.769,55.702,2020Q1
2020-04-01,586.732,566.974,166.728,146.947,355.225,81.381,147.423,34.277,2020Q2
2020-07-01,660.938,670.808,335.115,158.654,406.055,111.904,152.844,48.361,2020Q3
2020-10-01,694.082,719.632,384.616,161.988,453.619,126.893,160.138,41.18,2020Q4
2021-01-01,728.63,749.245,362.464,164.45,542.728,172.219,168.215,44.149,2021Q1
2021-04-01,758.567,751.668,347.234,183.455,617.926,206.541,161.818,43.261,2021Q2
2021-07-01,769.129,745.584,329.391,189.316,665.319,229.304,168.182,40.464,2021Q3
2021-10-01,797.992,825.844,346.114,195.982,718.906,256.826,179.724,38.048,2021Q4
2022-01-01,853.443,888.222,379.934,204.372,779.799,285.928,192.37,45.61,2022Q1
2022-04-01,866.336,888.46,395.574,218.01,869.188,341.324,181.322,45.601,2022Q2
2022-07-01,880.861,807.251,405.034,208.185,814.877,323.126,182.93,47.266,2022Q3
2022-10-01,879.735,772.145,415.195,207.488,751.308,285.742,162.39,52.297,2022Q4
2023-01-01,869.865,769.974,436.41,203.315,707.201,269.353,152.557,51.681,2023Q1
2023-04-01,855.624,751.294,452.218,197.297,651.792,236.392,153.148,52.095,2023Q2
2023-07-01,857.222,755.91,470.505,202.949,644.021,256.698,154.554,56.667,2023Q3
2023-10-01,874.312,750.742,473.508,202.34,654.416,274.969,162.681,60.543,2023Q4
2024-01-01,914.952,771.602,480.255,210.318,654.873,257.051,184.123,62.052,2024Q1
2024-04-01,952.028,789.019,489.32,211.117,667.635,270.153,214.004,57.916,2024Q2
2024-07-01,1016.894,818.686,472.973,218.644,656.149,252.157,245.511,65.247,2024Q3
2024-10-01,992.432,845.231,459.552,229.02,641.017,236.96,226.03,62.409,2024Q4
2025-01-01,1091.906,1048.89,470.756,236.468,677.054,239.829,304.097,65.154,2025Q1
2025-04-01,1098.111,773.844,422.192,220.723,600.03,206.619,336.207,51.152,2025Q2
2025-07-01,1114.467,717.945,407.908,209.25,592.871,210.483,357.819,58.84,2025Q3
