date,crude_production,crude_refinery_input,crude_stock_change,distillate_refinery_output,distillate_product_supplied,distillate_stock_change,jet_fuel_refinery_output,jet_fuel_product_supplied,jet_fuel_stock_change,spr_stocks,spr_change,year,month
2016-01-01,285.472,15.951,0.727,4.53,119.358,-0.024,49.024,44.928,0.081,695.1175000000001,,2016,1
2016-02-01,262.942,459.442,20.384,4.668,3.996,0.066,1.578,44.497,-0.309,695.1155,-0.002000000000066393,2016,2
2016-03-01,282.371,16.082,0.408,150.297,3.947,-2.423,1.575,1.547,0.057,695.113,-0.002499999999940883,2016,3
2016-04-01,8.88,15.92,0.15,139.764,3.799,-0.178,47.773,46.985,-0.486,695.111,-0.002000000000066393,2016,4
2016-05-01,8.839,16.237,0.082,4.76,3.732,0.206,1.606,1.578,0.803,695.1065,-0.004500000000007276,2016,5
2016-06-01,8.679,16.433,-11.008,148.608,115.582,-5.18,1.662,1.723,-4.001,695.104,-0.002499999999940883,2016,6
2016-07-01,8.669,16.621,-7.403,152.936,3.597,6.74,53.833,1.72,1.453,695.0998000000001,-0.004199999999968895,2016,7
2016-08-01,8.695,514.394,-0.219,4.939,120.291,0.124,1.796,53.373,0.656,695.0952500000001,-0.004549999999994725,2016,8
2016-09-01,8.547,16.34,-0.505,4.888,117.361,0.713,52.138,1.635,2.122,695.0921999999999,-0.003050000000143882,2016,9
2016-10-01,273.066,479.085,19.663,4.614,123.576,-6.336,49.326,49.896,-0.031,695.089,-0.0031999999998788553,2016,10
2016-11-01,8.908,487.057,-0.472,5.066,3.938,0.219,1.68,1.632,0.004,695.0862500000001,-0.0027499999999918145,2016,11
2016-12-01,273.413,16.516,-0.197,5.148,4.043,0.155,1.661,51.241,-0.063,695.083,-0.003250000000093678,2016,12
2017-01-01,275.124,16.118,22.172,148.349,3.736,0.134,1.614,1.588,-0.506,695.08075,-0.002250000000003638,2017,1
2017-02-01,9.097,433.807,0.656,4.657,3.935,-0.265,1.603,42.478,0.055,695.0775,-0.003249999999979991,2017,2
2017-03-01,284.195,497.486,0.318,4.793,127.926,-0.348,1.674,1.676,-1.662,693.4022,-1.675299999999993,2017,3
2017-04-01,9.105,508.633,-0.568,150.566,3.763,0.098,52.052,49.306,2.154,690.74225,-2.6599499999999807,2017,4
2017-05-01,284.854,17.222,-0.38,5.216,122.607,-0.71,1.713,1.669,-0.066,687.79725,-2.94500000000005,2017,5
2017-06-01,273.403,17.204,-0.685,158.513,3.964,-0.073,52.906,52.853,-3.436,683.5932,-4.204049999999938,2017,6
2017-07-01,287.049,17.317,-18.437,5.162,3.642,-0.018,1.817,53.743,0.075,678.88525,-4.7079499999999825,2017,7
2017-08-01,287.116,526.396,-0.758,5.044,124.109,-0.119,1.764,1.762,-0.023,678.88225,-0.0030000000000427463,2017,8
2017-09-01,285.404,15.46,0.148,136.792,3.921,-0.349,1.665,48.804,0.108,675.8507999999999,-3.0314500000000635,2017,9
2017-10-01,9.667,16.061,-0.469,4.972,124.348,-7.278,1.611,1.751,-1.813,671.526,-4.324799999999982,2017,10
2017-11-01,302.584,505.188,-14.35,5.362,124.723,0.111,1.671,1.685,-0.675,667.923,-3.602999999999952,2017,11
2017-12-01,309.584,535.506,-0.963,167.644,123.234,0.395,55.319,54.421,0.154,663.2016,-4.721400000000017,2017,12
2018-01-01,309.99,514.575,0.017,5.006,139.222,-4.298,1.687,1.568,1.337,664.27625,1.0746500000000196,2018,1
2018-02-01,10.263,15.936,0.154,4.584,111.42,-0.088,47.268,1.59,0.412,665.2172499999999,0.9409999999999172,2018,2
2018-03-01,10.467,516.619,1.094,4.823,130.091,-8.41,1.781,52.884,-0.087,665.4576,0.24035000000003492,2018,3
2018-04-01,10.493,16.766,0.338,5.12,124.171,-0.318,1.795,48.889,0.844,664.9739999999999,-0.483600000000024,2018,4
2018-05-01,10.432,526.031,-6.18,161.638,130.472,-5.348,1.804,1.685,0.014,661.9267500000001,-3.047249999999849,2018,5
2018-06-01,319.236,17.666,-0.64,162.311,3.959,4.969,1.893,55.708,-0.738,660.0768,-1.8499500000000353,2018,6
2018-07-01,10.903,538.067,-0.178,5.257,122.841,0.215,1.894,54.967,0.092,660.01425,-0.06255000000010114,2018,7
2018-08-01,11.396,17.623,-2.06,166.454,130.065,5.051,60.596,57.589,0.026,660.0124,-0.0018499999999903594,2018,8
2018-09-01,11.444,16.991,0.303,5.23,4.022,0.166,1.856,51.107,5.009,660.01025,-0.002149999999915053,2018,9
2018-10-01,11.508,16.412,11.955,5.035,134.782,-0.402,1.691,51.923,-4.497,656.93725,-3.0730000000000928,2018,10
2018-11-01,11.892,514.863,0.343,5.35,126.115,0.059,53.06,1.756,-0.099,652.1446,-4.7926499999999805,2018,11
2018-12-01,370.487,17.409,-7.306,5.576,124.602,13.619,57.527,1.676,2.27,649.2445,-2.900099999999952,2018,12
2019-01-01,11.873,16.783,6.471,5.25,4.327,-0.001,1.771,50.252,-0.427,649.139,-0.10550000000000637,2019,1
2019-02-01,326.292,15.846,0.096,4.905,4.307,-0.136,1.689,44.987,0.861,649.139,0.0,2019,2
2019-03-01,11.912,15.935,0.233,4.968,4.184,-4.151,1.728,53.051,-0.012,649.126,-0.013000000000033651,2019,3
2019-04-01,12.144,16.341,10.374,5.059,123.588,-3.898,1.728,1.756,-0.775,648.99125,-0.13474999999993997,2019,4
2019-05-01,12.151,518.303,7.553,161.563,127.399,0.051,1.729,54.965,-0.051,645.6247999999999,-3.3664500000001,2019,5
2019-06-01,12.222,17.236,-0.589,5.351,119.796,1.229,1.883,54.051,0.042,644.818,-0.8067999999999529,2019,6
2019-07-01,11.907,532.431,-21.858,5.246,121.247,6.58,59.592,1.847,2.482,644.818,0.0,2019,7
2019-08-01,12.488,536.202,-0.37,163.261,4.029,-2.038,1.924,1.841,0.121,644.818,0.0,2019,8
2019-09-01,377.87,16.403,-0.15,5.035,3.921,-3.798,1.799,1.702,0.039,644.818,0.0,2019,9
2019-10-01,397.088,15.681,0.454,4.794,130.951,-0.38,51.255,53.531,-4.549,642.99225,-1.825749999999971,2019,10
2019-11-01,389.953,16.482,-3.666,156.933,126.044,6.148,1.833,51.328,0.84,637.8668,-5.125450000000001,2019,11
2019-12-01,402.464,520.569,-13.115,5.309,121.74,0.447,58.591,56.086,-0.005,634.9672499999999,-2.89955000000009,2019,12
2020-01-01,12.865,16.229,0.241,5.087,4.024,3.107,1.854,1.673,0.102,634.967,-0.00024999999993724487,2020,1
2020-02-01,12.864,15.865,0.424,4.813,4.08,-10.272,48.324,1.619,-1.003,634.967,0.0,2020,2
2020-03-01,396.947,472.144,30.778,4.953,122.789,-0.198,1.359,43.02,-2.758,634.967,0.0,2020,3
2020-04-01,11.918,12.772,48.553,5.079,105.842,24.14,0.619,20.34,0.004,635.2545,0.28750000000002274,2020,4
2020-05-01,301.409,402.009,3.058,4.818,3.446,25.705,0.505,0.597,0.362,642.1569999999999,6.902499999999918,2020,5
2020-06-01,10.45,13.734,0.625,4.58,3.495,0.32,21.994,0.784,0.042,652.7157500000001,10.558750000000146,2020,6
2020-07-01,341.432,14.334,-12.416,150.125,3.615,1.853,0.836,0.968,-0.618,656.1214,3.4056499999999232,2020,7
2020-08-01,328.603,438.703,-24.335,4.823,3.668,0.031,26.381,1.016,-0.903,650.68925,-5.432149999999979,2020,8
2020-09-01,10.963,13.573,-12.019,134.805,3.814,-0.242,0.8,0.921,0.002,645.424,-5.265250000000037,2020,9
2020-10-01,10.492,416.787,-0.24,4.204,4.036,-16.267,0.821,31.178,-0.081,640.3254,-5.098600000000033,2020,10
2020-11-01,336.74,14.124,0.212,135.66,116.384,0.97,1.062,33.888,0.001,638.34675,-1.9786499999999023,2020,11
2020-12-01,346.834,438.334,-15.28,143.62,3.888,3.983,34.881,1.148,0.031,638.0852500000001,-0.26149999999995543,2020,12
2021-01-01,11.156,450.797,-9.203,141.365,122.03,2.87,1.226,1.131,3.964,638.0854,0.00014999999996234692,2021,1
2021-02-01,278.056,346.386,17.295,3.782,3.968,-20.045,0.949,1.087,-2.595,637.8100000000001,-0.27539999999999054,2021,2
2021-03-01,11.376,446.001,0.277,140.097,4.077,0.067,34.131,1.15,-0.028,637.773,-0.03700000000003456,2021,3
2021-04-01,11.355,15.162,-0.588,4.596,121.451,-0.295,37.879,1.292,0.047,635.6532,-2.1198000000000548,2021,4
2021-05-01,354.175,483.466,-0.581,147.095,3.9,2.381,40.55,40.043,0.094,629.61725,-6.035949999999957,2021,5
2021-06-01,342.028,485.707,-1.172,4.981,3.946,0.533,1.383,1.426,0.043,624.613,-5.004249999999956,2021,6
2021-07-01,354.035,491.407,-9.365,150.533,113.912,2.007,1.423,1.501,-0.911,621.304,-3.3090000000000828,2021,7
2021-08-01,11.318,487.506,-17.22,146.99,123.516,-0.146,44.493,1.563,-0.043,621.3025,-0.0014999999999645297,2021,8
2021-09-01,10.961,456.95,-0.157,4.555,120.96,-5.53,40.67,44.545,-0.489,620.08325,-1.2192499999999882,2021,9
2021-10-01,360.845,466.406,9.115,4.727,122.989,0.716,1.321,1.467,-1.634,615.3486,-4.734649999999988,2021,10
2021-11-01,11.871,15.684,-0.412,4.95,125.711,-1.119,42.707,1.507,-0.119,605.6510000000001,-9.697599999999966,2021,11
2021-12-01,364.547,15.757,-0.645,4.926,122.453,-0.053,1.512,1.517,-0.032,596.975,-8.676000000000045,2021,12
2022-01-01,354.968,479.498,-12.835,4.67,127.991,-4.757,1.517,43.968,0.09,591.2775,-5.697499999999991,2022,1
2022-02-01,11.465,15.397,-14.633,131.1,4.365,-0.167,42.103,39.706,1.275,583.68675,-7.590750000000071,2022,2
2022-03-01,11.888,491.251,-7.13,155.127,129.68,-5.952,1.436,1.52,-0.137,573.1635,-10.523249999999962,2022,3
2022-04-01,11.83,15.648,-0.501,145.058,119.268,-8.366,50.977,1.547,0.07,556.8592000000001,-16.3042999999999,2022,4
2022-05-01,11.758,503.402,-0.873,4.988,3.876,3.421,1.741,49.327,3.633,534.89575,-21.96345000000008,2022,5
2022-06-01,11.919,16.571,-0.902,155.895,4.049,0.054,1.686,50.572,-1.966,508.40525,-26.490499999999997,2022,6
2022-07-01,372.277,507.098,-19.042,158.859,115.367,1.262,53.43,49.679,0.06,480.3448,-28.060450000000003,2022,7
2022-08-01,376.168,509.258,-0.879,5.142,122.155,0.017,1.683,51.264,-2.821,457.19425,-23.15055000000001,2022,8
2022-09-01,372.876,16.141,-19.449,5.183,122.624,-2.591,1.601,46.027,-1.889,428.53159999999997,-28.662650000000042,2022,9
2022-10-01,385.7,489.05,-7.146,5.077,129.048,-0.001,48.603,48.309,-0.002,403.836,-24.695599999999956,2022,10
2022-11-01,12.493,16.45,-1.107,5.338,121.785,0.337,1.659,47.535,0.045,391.993,-11.843000000000018,2022,11
2022-12-01,12.202,15.377,-0.094,151.059,117.574,-1.702,48.407,49.376,-2.773,379.0844,-12.908599999999979,2022,12
2023-01-01,12.64,15.087,0.923,4.702,122.971,0.122,50.316,1.528,0.53,371.57925,-7.505150000000015,2023,1
2023-02-01,12.621,15.126,0.472,4.697,111.961,0.07,43.839,42.442,1.686,371.579,-0.0002499999999940883,2023,2
2023-03-01,12.867,480.888,-0.244,4.682,4.113,-0.418,1.679,1.613,0.017,371.4982,-0.08080000000001064,2023,3
2023-04-01,382.025,15.84,-13.044,142.297,116.357,0.017,1.702,48.173,0.107,367.35450000000003,-4.143699999999967,2023,4
2023-05-01,12.732,16.215,-0.269,4.948,3.919,1.052,1.691,51.76,0.045,358.7475,-8.607000000000028,2023,5
2023-06-01,383.611,492.184,-0.438,149.276,3.978,-0.026,1.776,1.755,0.002,350.2,-8.547500000000014,2023,6
2023-07-01,400.286,16.628,-14.472,154.332,111.082,7.793,1.78,1.753,0.165,346.75875,-3.441249999999968,2023,7
2023-08-01,402.974,517.374,-19.77,5.018,125.614,-0.108,1.824,52.933,0.031,348.6495,1.8907499999999686,2023,8
2023-09-01,395.338,487.179,1.508,146.901,3.858,2.392,52.49,50.741,0.028,350.892,2.242500000000007,2023,9
2023-10-01,13.213,15.357,0.262,146.777,4.061,-0.298,1.612,1.697,-0.13,351.274,0.382000000000005,2023,10
2023-11-01,13.316,15.937,0.549,153.029,3.95,3.544,50.993,1.623,-0.024,351.35225,0.07825000000002547,2023,11
2023-12-01,13.297,511.557,-12.574,162.565,112.943,17.325,56.67,1.668,1.046,352.8178,1.4655499999999506,2023,12
2024-01-01,12.517,15.395,4.993,4.642,119.521,-0.05,52.437,47.496,1.542,356.124,3.3062000000000467,2024,1
2024-02-01,13.129,14.882,0.797,4.318,113.095,-11.018,47.686,45.006,-0.058,359.13625,3.0122499999999945,2024,2
2024-03-01,408.9,491.803,0.077,4.729,114.472,3.622,54.495,1.651,2.23,362.3026,3.166349999999966,2024,3
2024-04-01,13.314,15.882,19.829,143.722,113.778,-0.114,1.754,50.343,-0.317,365.267,2.964400000000012,2024,4
2024-05-01,13.256,518.274,-0.204,5.01,116.835,3.815,1.835,1.742,1.472,368.66179999999997,3.394799999999975,2024,5
2024-06-01,13.252,16.816,-0.388,5.044,109.878,1.695,57.901,1.772,1.515,371.5575,2.8957000000000335,2024,6
2024-07-01,409.579,16.58,-0.337,5.138,114.673,6.249,1.921,55.873,0.034,374.07574999999997,2.5182499999999663,2024,7
2024-08-01,415.726,522.444,-5.788,158.955,3.889,-3.667,59.127,1.784,0.484,377.42060000000004,3.344850000000065,2024,8
2024-09-01,395.118,16.203,0.764,149.747,110.615,-0.052,53.566,50.291,-0.705,381.25075,3.8301499999999464,2024,9
2024-10-01,13.53,499.623,0.416,5.02,128.053,-0.24,1.762,53.059,-1.741,384.32125,3.070500000000038,2024,10
2024-11-01,13.396,16.554,2.042,5.184,110.397,0.267,54.767,50.065,-0.052,389.2744,4.953149999999994,2024,11
2024-12-01,13.437,16.772,-0.196,5.207,3.743,0.168,57.036,52.821,0.004,393.11525,3.840849999999989,2024,12
2025-01-01,13.14,487.847,0.211,4.741,4.064,-10.405,1.719,1.62,-0.477,394.5156,1.400350000000003,2025,1
2025-02-01,13.24,430.007,11.253,4.612,3.997,-0.019,1.643,1.539,0.774,395.313,0.7973999999999819,2025,2
2025-03-01,13.453,490.719,0.106,146.937,3.894,-0.083,1.69,1.637,-0.079,396.0085,0.6955000000000382,2025,3
2025-04-01,13.466,16.091,5.788,4.737,3.883,-0.21,54.787,1.764,0.001,397.43449999999996,1.4259999999999309,2025,4
2025-05-01,13.447,16.724,-0.052,5.006,3.789,0.058,1.929,1.763,0.106,400.48,3.045500000000061,2025,5
2025-06-01,13.61,17.095,-15.677,5.134,3.965,-0.129,59.905,1.847,-0.021,402.40975000000003,1.9297500000000127,2025,6
2025-07-01,13.707,526.987,0.202,5.2,117.913,4.137,1.92,57.186,-0.153,402.73749999999995,0.3277499999999236,2025,7
2025-08-01,13.81,525.21,-0.03,5.281,116.944,0.329,1.89,1.819,-0.018,403.7028,0.9653000000000702,2025,8
2025-09-01,13.839,493.933,-0.247,5.071,3.891,2.485,1.823,49.896,0.014,405.90250000000003,2.199700000000007,2025,9
2025-10-01,429.983,15.526,15.752,4.809,4.14,-13.024,1.716,53.16,-2.46,408.3972,2.494699999999966,2025,10
