date,exports_goods,exports_services,imports_goods,imports_services,quarter,total_exports,total_imports,trade_balance,goods_balance,services_balance
2018-01-01,1639.223,878.044,2526.65,566.649,2018Q1,2517.267,3093.299,-576.0320000000002,-887.4270000000001,311.395
2018-04-01,1699.196,862.977,2538.03,567.965,2018Q2,2562.173,3105.9950000000003,-543.8220000000006,-838.8340000000003,295.01199999999994
2018-07-01,1667.656,867.845,2584.777,568.97,2018Q3,2535.501,3153.7470000000003,-618.2460000000001,-917.1210000000001,298.875
2018-10-01,1671.102,866.313,2586.742,584.881,2018Q4,2537.415,3171.623,-634.2080000000001,-915.6400000000001,281.432
2019-01-01,1663.331,876.913,2533.731,598.808,2019Q1,2540.2439999999997,3132.539,-592.2950000000005,-870.4000000000003,278.105
2019-04-01,1641.37,906.078,2561.04,604.37,2019Q2,2547.448,3165.41,-617.962,-919.6700000000001,301.70799999999997
2019-07-01,1636.726,895.679,2519.01,598.942,2019Q3,2532.405,3117.952,-585.547,-882.2840000000001,296.73699999999997
2019-10-01,1637.594,899.871,2452.962,597.862,2019Q4,2537.465,3050.824,-513.3589999999999,-815.3679999999999,302.009
2020-01-01,1595.571,835.37,2372.814,559.723,2020Q1,2430.941,2932.537,-501.596,-777.2429999999999,275.64700000000005
2020-04-01,1140.37,689.321,1938.596,417.987,2020Q2,1829.6909999999998,2356.583,-526.8920000000003,-798.2260000000001,271.334
2020-07-01,1417.097,699.656,2360.466,443.903,2020Q3,2116.7529999999997,2804.3689999999997,-687.616,-943.3689999999999,255.75299999999993
2020-10-01,1533.551,744.414,2548.498,487.579,2020Q4,2277.965,3036.077,-758.1120000000001,-1014.9470000000001,256.835
2021-01-01,1621.849,771.184,2673.777,508.305,2021Q1,2393.033,3182.082,-789.049,-1051.928,262.87899999999996
2021-04-01,1720.872,801.944,2799.515,548.92,2021Q2,2522.816,3348.435,-825.6190000000001,-1078.6429999999998,253.024
2021-07-01,1750.397,830.944,2839.691,615.129,2021Q3,2581.341,3454.8199999999997,-873.4789999999998,-1089.2939999999999,215.81499999999994
2021-10-01,1895.85,881.747,3045.431,640.951,2021Q4,2777.5969999999998,3686.382,-908.7850000000003,-1149.5810000000001,240.79599999999994
2022-01-01,1954.624,910.603,3248.836,665.561,2022Q1,2865.227,3914.397,-1049.17,-1294.2119999999998,245.04199999999992
2022-04-01,2138.293,955.44,3374.607,715.297,2022Q2,3093.733,4089.904,-996.1709999999998,-1236.3139999999999,240.14300000000003
2022-07-01,2141.274,987.801,3242.511,742.163,2022Q3,3129.075,3984.674,-855.5990000000002,-1101.237,245.63800000000003
2022-10-01,2047.141,1010.542,3161.605,746.695,2022Q4,3057.683,3908.3,-850.6170000000002,-1114.464,263.847
2023-01-01,2062.07,1023.445,3129.646,750.787,2023Q1,3085.5150000000003,3880.433,-794.9179999999997,-1067.576,272.658
2023-04-01,1973.447,1042.764,3049.783,763.914,2023Q2,3016.211,3813.697,-797.4860000000003,-1076.336,278.8499999999999
2023-07-01,2024.832,1057.25,3083.982,763.634,2023Q3,3082.0820000000003,3847.616,-765.5339999999997,-1059.1499999999999,293.616
2023-10-01,2037.082,1072.55,3106.863,790.814,2023Q4,3109.632,3897.6769999999997,-788.0449999999996,-1069.7809999999997,281.736
2024-01-01,2041.043,1123.058,3175.726,810.853,2024Q1,3164.1009999999997,3986.579,-822.4780000000005,-1134.6830000000002,312.20500000000004
2024-04-01,2055.919,1136.712,3259.942,827.06,2024Q2,3192.631,4087.002,-894.3710000000001,-1204.0230000000001,309.65200000000004
2024-07-01,2082.1,1174.385,3330.863,863.948,2024Q3,3256.4849999999997,4194.811,-938.326,-1248.763,310.437
2024-10-01,2052.899,1195.357,3302.708,884.213,2024Q4,3248.256,4186.921,-938.6650000000004,-1249.8090000000002,311.144
2025-01-01,2115.962,1177.698,3681.432,876.833,2025Q1,3293.66,4558.264999999999,-1264.6049999999996,-1565.4699999999998,300.8650000000001
2025-04-01,2081.308,1186.198,3279.309,887.995,2025Q2,3267.5060000000003,4167.304,-899.7979999999998,-1198.0010000000002,298.2030000000001
2025-07-01,2133.708,1233.16,3222.962,900.475,2025Q3,3366.8680000000004,4123.437,-756.5689999999995,-1089.254,332.68500000000006
